Transaction ID,ISIN,CUSIP,Account Number,As of Date,Currency,Primary Account Info,Secondary Account Info,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
6568122,IU1264285724,DP6RTIK33,3258778044,02-11-2024,USD,Primary Info 0,Secondary Info 0,102348.79,345561.54,-243212.75,Pending,Approved
2870623,UL7113823718,1TE1NT068,3080692837,01-10-2024,AUD,Primary Info 1,Secondary Info 1,1084.19,23235.68,-22151.49,Partially Matched,
1365653,EC1842625350,M64ZG95V8,4040198974,18-10-2024,EUR,Primary Info 2,Secondary Info 2,387803.2,281918.92,105884.28,Pending,Approved
4815587,SR9512354593,KJKQVZVQI,1713979388,03-03-2025,USD,Primary Info 3,Secondary Info 3,45292.72,379131.29,-333838.57,Pending,Check discrepancy
4483803,HS3474828721,T5W0WEO33,1337891902,24-05-2024,USD,Primary Info 4,Secondary Info 4,442271.87,109778.04,332493.83,Matched,
2833919,AC7945822742,6DKYBTUSH,1611727737,24-03-2024,CAD,Primary Info 5,Secondary Info 5,165172.14,333313.52,-168141.38,Matched,Check discrepancy
2721477,ON5283417275,I70L2VRBN,1197465365,13-12-2024,AUD,Primary Info 6,Secondary Info 6,38316.06,382808.43,-344492.37,Pending,Pending investigation
2957712,EL7332866855,WFIDF0RBY,2686787946,13-12-2024,CAD,Primary Info 7,Secondary Info 7,452982.17,40475.11,412507.06,Pending,Check discrepancy
3495075,FX3695438200,SNUBBP3GL,2847313106,30-01-2025,CAD,Primary Info 8,Secondary Info 8,454625.56,108275.39,346350.17,Pending,Needs review
2580572,PZ5848313030,9QA0BH6CF,1960224312,17-07-2024,EUR,Primary Info 9,Secondary Info 9,376653.34,250674.35,125978.99,Matched,
1953669,MG0896841497,0XAFLEHPD,2487887211,07-04-2024,GBP,Primary Info 10,Secondary Info 10,316677.18,145832.42,170844.76,Pending,
9713794,GX9322285352,TQK4D7BAA,2872267894,03-09-2024,GBP,Primary Info 11,Secondary Info 11,333133.96,477897.3,-144763.34,Partially Matched,Needs review
1158468,YV6018952493,F3A4XLS1Q,2097121447,22-06-2024,USD,Primary Info 12,Secondary Info 12,474090.43,350763.51,123326.92,Pending,Needs review
4451205,BN3846281534,VF00B2WPY,3391731114,02-03-2025,INR,Primary Info 13,Secondary Info 13,232159.49,498206.15,-266046.66,Matched,
1523698,WK1686748627,8Z4NAJ63S,3381317921,26-10-2024,AUD,Primary Info 14,Secondary Info 14,403010.11,247302.93,155707.18,Matched,Check discrepancy
