Account Number,As of Date,Currency,Primary Account Info,Secondary Account Info,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
3791287058,2024-12-25,EUR,Primary Info 0,Secondary Info 0,350126.79,18947.75,331179.04,Partially Matched,
3172134997,2024-10-13,AUD,Primary Info 1,Secondary Info 1,73836.19,50943.63,22892.56,Pending,Approved
2715010591,2024-12-11,INR,Primary Info 2,Secondary Info 2,144110.13,52458.53,91651.6,Partially Matched,Approved
3063982491,2024-07-18,CAD,Primary Info 3,Secondary Info 3,6736.71,201866,-195129.29,Pending,
1702084230,2024-08-19,JPY,Primary Info 4,Secondary Info 4,163457.65,65643.43,97814.22,Matched,
3281501837,2024-08-25,EUR,Primary Info 5,Secondary Info 5,299640.2,51766.64,247873.56,Pending,Pending investigation
5067304986,2024-04-20,AUD,Primary Info 6,Secondary Info 6,103971.33,441138.34,-337167.01,Unmatched,Pending investigation
2054255624,2024-06-18,USD,Primary Info 7,Secondary Info 7,252072.37,69517.27,182555.1,Pending,
8272348963,2024-09-09,USD,Primary Info 8,Secondary Info 8,162482.89,321358.77,-158875.88,Unmatched,
2288948693,2024-05-02,AUD,Primary Info 9,Secondary Info 9,63481.59,171072.52,-107590.93,Pending,
1099840695,2024-07-18,CAD,Primary Info 10,Secondary Info 10,179972.58,469526.62,-289554.04,Matched,
1717906919,2025-02-21,GBP,Primary Info 11,Secondary Info 11,40162.84,257281.95,-217119.11,Unmatched,Approved
2898175194,2024-06-20,USD,Primary Info 12,Secondary Info 12,50893.03,254860.04,-203967.01,Pending,Needs review
3328986977,2024-10-21,JPY,Primary Info 13,Secondary Info 13,402356.06,42972.52,359383.54,Unmatched,Check discrepancy
7304529861,2024-04-26,USD,Primary Info 14,Secondary Info 14,257610.7,128540.78,129069.92,Partially Matched,Pending investigation
3832899679,2025-02-22,JPY,Primary Info 15,Secondary Info 15,366749.03,312379.2,54369.83,Pending,Approved
1432781849,2024-03-25,JPY,Primary Info 16,Secondary Info 16,495319.48,108779.35,386540.13,Unmatched,Approved
2555985818,2024-12-25,EUR,Primary Info 17,Secondary Info 17,50007.64,289082.29,-239074.65,Partially Matched,Needs review
2368946372,2024-03-30,USD,Primary Info 18,Secondary Info 18,152597.38,446840.17,-294242.79,Partially Matched,Check discrepancy
2962347702,2024-04-16,CAD,Primary Info 19,Secondary Info 19,183006.62,489793.37,-306786.75,Unmatched,
2210625914,2024-05-31,EUR,Primary Info 20,Secondary Info 20,52590.86,165004.25,-112413.39,Matched,
2233138995,2024-07-24,INR,Primary Info 21,Secondary Info 21,484807.11,348616.83,136190.28,Matched,
1125698566,2024-11-23,INR,Primary Info 22,Secondary Info 22,149716.32,135264.27,14452.05,Partially Matched,Check discrepancy
2771391728,2024-11-12,JPY,Primary Info 23,Secondary Info 23,23117.38,335509.52,-312392.14,Unmatched,Check discrepancy
1870992134,2024-11-28,CAD,Primary Info 24,Secondary Info 24,213633.5,372690.16,-159056.66,Matched,Pending investigation
2042326827,2024-10-01,CAD,Primary Info 25,Secondary Info 25,291467.38,143230.26,148237.12,Matched,Needs review
1904153265,2024-05-23,GBP,Primary Info 26,Secondary Info 26,123617.67,258479.79,-134862.12,Unmatched,Pending investigation
2371393843,2024-04-20,JPY,Primary Info 27,Secondary Info 27,427600.42,266272.61,161327.81,Matched,Pending investigation
3203358032,2024-10-06,EUR,Primary Info 28,Secondary Info 28,342757.83,437929.94,-95172.11,Pending,Approved
3425696767,2024-11-04,EUR,Primary Info 29,Secondary Info 29,285972.37,216840.74,69131.63,Matched,Check discrepancy
1020669638,2025-03-09,USD,Primary Info 30,Secondary Info 30,228623.57,114170.18,114453.39,Unmatched,Needs review
8158136189,2024-10-29,USD,Primary Info 31,Secondary Info 31,117822.44,422192.61,-304370.17,Matched,Approved
2794845720,2024-12-31,JPY,Primary Info 32,Secondary Info 32,210241.62,370053.42,-159811.8,Pending,Check discrepancy
8474586428,2024-06-20,USD,Primary Info 33,Secondary Info 33,342338.94,67044.08,275294.86,Unmatched,Check discrepancy
1690803263,2024-05-20,JPY,Primary Info 34,Secondary Info 34,382365.64,174023.83,208341.81,Pending,Needs review
2717072723,2024-08-03,USD,Primary Info 35,Secondary Info 35,186309.79,151632.65,34677.14,Partially Matched,
3115572393,2024-09-01,USD,Primary Info 36,Secondary Info 36,381816.4,26621.19,355195.21,Unmatched,Approved
1038099471,2025-03-11,EUR,Primary Info 37,Secondary Info 37,498202.71,257396.29,240806.42,Unmatched,Pending investigation
7426871424,2024-06-19,GBP,Primary Info 38,Secondary Info 38,192866.16,414934.79,-222068.63,Matched,Check discrepancy
9440662713,2024-05-18,INR,Primary Info 39,Secondary Info 39,377870.84,12393.06,365477.78,Matched,Check discrepancy
2316973578,2024-08-18,USD,Primary Info 40,Secondary Info 40,272007.15,261433.49,10573.66,Matched,Pending investigation
2607999903,2024-08-07,JPY,Primary Info 41,Secondary Info 41,312942.7,84643.49,228299.21,Unmatched,Check discrepancy
3110342688,2024-03-26,GBP,Primary Info 42,Secondary Info 42,413355.71,207080.65,206275.06,Pending,Needs review
1468410304,2024-05-07,JPY,Primary Info 43,Secondary Info 43,15157.16,203513.06,-188355.9,Partially Matched,Approved
6082044512,2024-08-13,JPY,Primary Info 44,Secondary Info 44,176050.3,329484.3,-153434,Partially Matched,Approved
8868619116,2024-07-07,JPY,Primary Info 45,Secondary Info 45,288621.7,487590.18,-198968.48,Pending,Approved
4187014486,2024-07-07,GBP,Primary Info 46,Secondary Info 46,255637.16,41162.06,214475.1,Partially Matched,
