Account Number,As of Date,Currency,Primary Account Info,Secondary Account Info,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
2621678094,2024-12-31,USD,Primary Info 0,Secondary Info 0,242118.17,433824.65,-191706.48,Partially Matched,Approved
3312742144,2025-01-02,CAD,Primary Info 1,Secondary Info 1,159943.75,15765.9,144177.85,Pending,Approved
2609843782,2024-10-10,CAD,Primary Info 2,Secondary Info 2,150721.24,248369.53,-97648.29,Partially Matched,Approved
8553191903,2024-07-23,JPY,Primary Info 3,Secondary Info 3,85093.48,89408.22,-4314.74,Matched,Check discrepancy
9206234739,2024-05-01,USD,Primary Info 4,Secondary Info 4,324667.51,176700.83,147966.68,Unmatched,Needs review
1905899929,2024-04-26,INR,Primary Info 5,Secondary Info 5,376314.32,133982.17,242332.15,Unmatched,Needs review
1027679071,2025-03-01,CAD,Primary Info 6,Secondary Info 6,24874.22,288786.75,-263912.53,Matched,Pending investigation
2899716202,2024-12-08,INR,Primary Info 7,Secondary Info 7,355034.64,74220.98,280813.66,Matched,Needs review
1391519491,2024-04-18,USD,Primary Info 8,Secondary Info 8,54703.41,198747.3,-144043.89,Partially Matched,
5694530674,2024-05-17,CAD,Primary Info 9,Secondary Info 9,287068.09,326502.18,-39434.09,Unmatched,Check discrepancy
9580482030,2024-07-07,GBP,Primary Info 10,Secondary Info 10,288652.57,437087.79,-148435.22,Unmatched,Pending investigation
2562680287,2024-07-19,USD,Primary Info 11,Secondary Info 11,191722.74,233792.97,-42070.23,Pending,
1435540915,2024-12-06,AUD,Primary Info 12,Secondary Info 12,90145.63,177459.44,-87313.81,Unmatched,Needs review
4343432853,2025-03-11,USD,Primary Info 13,Secondary Info 13,336672.84,14374.49,322298.35,Matched,Approved
1786053720,2024-10-08,AUD,Primary Info 14,Secondary Info 14,292942.75,80868.16,212074.59,Pending,Needs review
2605767333,2025-01-14,CAD,Primary Info 15,Secondary Info 15,226398.34,62667.92,163730.42,Matched,Pending investigation
3060433755,2024-05-24,GBP,Primary Info 16,Secondary Info 16,165456.73,73085.33,92371.4,Matched,Pending investigation
9292579646,2024-10-13,GBP,Primary Info 17,Secondary Info 17,439872.39,205711.75,234160.64,Pending,
2390120008,2025-02-21,USD,Primary Info 18,Secondary Info 18,310763.32,302274.4,8488.92,Matched,Approved
1554924523,2024-07-31,EUR,Primary Info 19,Secondary Info 19,218333.09,304768.63,-86435.54,Pending,Needs review
