Transaction ID,ISIN,CUSIP,Account Number,As of Date,Currency,Primary Account Info,Secondary Account Info,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
2828501,CW0480590156,4PFLS13JI,1251512207,12-02-2025,JPY,Primary Info 0,Secondary Info 0,56761.53,23312.87,33448.66,Unmatched,Needs review
1010367,RN7103839937,RAKDL1GK1,1827443584,27-01-2025,JPY,Primary Info 1,Secondary Info 1,245806.65,414452.99,-168646.34,Matched,
2825114,GD8883722188,5XQ0VZVG6,1495828300,24-05-2024,CAD,Primary Info 2,Secondary Info 2,49513.24,116425.59,-66912.35,Pending,Approved
3348226,YZ1624743133,Z18IWENGH,1769662600,10-04-2024,AUD,Primary Info 3,Secondary Info 3,48294.8,379888.46,-331593.66,Pending,Needs review
2454511,CC2555150570,G1QZJ8XH9,2555704987,11-03-2025,GBP,Primary Info 4,Secondary Info 4,42282.52,393039.69,-350757.17,Matched,Approved
1501529,CC4290105160,99GOYD295,3082035176,10-05-2024,GBP,Primary Info 5,Secondary Info 5,34776.09,459094.87,-424318.78,Unmatched,Needs review
3393066,OU5100331561,X0GXEJYC9,1508537335,12-07-2024,USD,Primary Info 6,Secondary Info 6,147378.27,97029.27,50349,Partially Matched,Needs review
1975795,HT7572759343,4FM3XJSFQ,2658318386,07-01-2025,EUR,Primary Info 7,Secondary Info 7,309575.78,5563.03,304012.75,Matched,
2611507,DC8990789112,XRF2N7P5P,1828250940,21-06-2024,USD,Primary Info 8,Secondary Info 8,239652.42,192455.36,47197.06,Unmatched,Pending investigation
1606773,AE4661456724,U09NAE7V6,8710290681,02-07-2024,JPY,Primary Info 9,Secondary Info 9,142586.1,331115.77,-188529.67,Unmatched,Pending investigation
3328384,OR4954749960,QUMS5UHL7,7974695912,06-10-2024,CAD,Primary Info 10,Secondary Info 10,289928.9,257789.55,32139.35,Unmatched,Approved
2600839,LJ4604903075,1GLFEOILO,3066159658,21-09-2024,EUR,Primary Info 11,Secondary Info 11,20556.94,117558.65,-97001.71,Unmatched,
2274955,NH6616890798,G7UBLVAOW,2444406193,09-01-2025,GBP,Primary Info 12,Secondary Info 12,296670.14,173199.83,123470.31,Unmatched,Approved
7016508,YY2661664309,236M8BK3S,3231026278,27-08-2024,USD,Primary Info 13,Secondary Info 13,58232.39,420859.63,-362627.24,Matched,Needs review
2280432,RL8022988246,J16PBGFUG,7755759886,21-11-2024,INR,Primary Info 14,Secondary Info 14,401112.24,282421.65,118690.59,Partially Matched,Needs review
